,Data type,Model,RMSE,MAPE
0,Whole Data,SARIMA,1.1679010281522262,0.10791893785190725
1,Train data,SARIMA,0.6166799598666851,0.11097514011543348
2,Test data,SARIMA,2.071199093644962,0.09882869522193176
3,Whole Data,ARIMA,1.002167436618344,0.10323375356080437
4,Train data,ARIMA,0.6360867821291539,0.10722290376465432
5,Test data,ARIMA,1.6697788258074813,0.09136858885191732
6,Whole Data,Holt-Winter,0.7899619876756281,0.11753153241430961
7,Train data,Holt-Winter,0.6727012477440476,0.13889205843719696
8,Test data,Holt-Winter,1.0649793862772627,0.05399766014110622
